model,model_tag,mode,seed,confusion_matrix_json,row_normalized_confusion_json,subject_majority_confusion_json
GPT-4.1-mini,gpt41_mini_fastfill_v1,non-reasoning,41,"[[4127, 0, 857], [2673, 0, 503], [5377, 0, 1111]]","[[0.8280497592295345, 0.0, 0.1719502407704655], [0.841624685138539, 0.0, 0.15837531486146095], [0.8287607891491985, 0.0, 0.1712392108508015]]","[[6, 0, 0], [5, 0, 0], [8, 0, 0]]"
GPT-4.1-mini,gpt41_mini_fastfill_v1,non-reasoning,42,"[[5, 0, 4979], [0, 0, 3176], [6, 0, 6482]]","[[0.0010032102728731941, 0.0, 0.9989967897271268], [0.0, 0.0, 1.0], [0.0009247842170160296, 0.0, 0.999075215782984]]","[[0, 0, 6], [0, 0, 5], [0, 0, 8]]"
GPT-4.1-mini,gpt41_mini_fastfill_v1,non-reasoning,43,"[[4984, 0, 0], [3176, 0, 0], [6488, 0, 0]]","[[1.0, 0.0, 0.0], [1.0, 0.0, 0.0], [1.0, 0.0, 0.0]]","[[6, 0, 0], [5, 0, 0], [8, 0, 0]]"
GPT-4.1-mini,gpt41_mini_fastfill_v1,non-reasoning,44,"[[0, 0, 4984], [0, 0, 3176], [0, 0, 6488]]","[[0.0, 0.0, 1.0], [0.0, 0.0, 1.0], [0.0, 0.0, 1.0]]","[[0, 0, 6], [0, 0, 5], [0, 0, 8]]"
GPT-4.1-mini,gpt41_mini_fastfill_v1,non-reasoning,45,"[[200, 3, 4781], [82, 1, 3093], [240, 3, 6245]]","[[0.04012841091492777, 0.0006019261637239165, 0.9592696629213483], [0.025818639798488665, 0.00031486146095717883, 0.9738664987405542], [0.036991368680641186, 0.0004623921085080148, 0.9625462392108508]]","[[0, 0, 6], [0, 0, 5], [0, 0, 8]]"
GPT-4o,gpt4o_nonthinking_retrymax5_v1,non-reasoning,41,"[[0, 3840, 1144], [0, 2078, 1098], [0, 4830, 1658]]","[[0.0, 0.7704654895666132, 0.22953451043338685], [0.0, 0.6542821158690176, 0.34571788413098237], [0.0, 0.7444512946979038, 0.25554870530209617]]","[[0, 5, 1], [0, 4, 1], [0, 8, 0]]"
GPT-4o,gpt4o_nonthinking_retrymax5_v1,non-reasoning,42,"[[4715, 82, 187], [3020, 7, 149], [6125, 26, 337]]","[[0.9460272873194222, 0.016452648475120384, 0.03752006420545746], [0.9508816120906801, 0.002204030226700252, 0.046914357682619645], [0.9440505548705302, 0.004007398273736128, 0.05194204685573366]]","[[6, 0, 0], [5, 0, 0], [8, 0, 0]]"
GPT-4o,gpt4o_nonthinking_retrymax5_v1,non-reasoning,43,"[[0, 201, 4783], [0, 144, 3032], [0, 426, 6062]]","[[0.0, 0.040329052969502406, 0.9596709470304976], [0.0, 0.04534005037783375, 0.9546599496221663], [0.0, 0.0656596794081381, 0.9343403205918619]]","[[0, 0, 6], [0, 0, 5], [0, 0, 8]]"
GPT-4o,gpt4o_nonthinking_retrymax5_v1,non-reasoning,44,"[[1343, 68, 3573], [748, 46, 2382], [1665, 132, 4691]]","[[0.26946227929373995, 0.013643659711075442, 0.7168940609951846], [0.23551637279596976, 0.014483627204030227, 0.75], [0.25662762022194824, 0.020345252774352653, 0.7230271270036991]]","[[0, 0, 6], [0, 0, 5], [0, 0, 8]]"
GPT-4o,gpt4o_nonthinking_retrymax5_v1,non-reasoning,45,"[[1231, 3750, 3], [791, 2385, 0], [1597, 4880, 11]]","[[0.24699036918138043, 0.7524077046548957, 0.0006019261637239165], [0.24905541561712846, 0.7509445843828715, 0.0], [0.24614673242909987, 0.752157829839704, 0.0016954377311960542]]","[[0, 6, 0], [0, 5, 0], [0, 8, 0]]"
Qwen3-235B-A22B Thinking 2507,qwen3_235b_a22b_thinking_2507_v1,reasoning,41,"[[23, 0, 4961], [1, 1, 3174], [13, 0, 6475]]","[[0.004614767255216694, 0.0, 0.9953852327447833], [0.00031486146095717883, 0.00031486146095717883, 0.9993702770780857], [0.002003699136868064, 0.0, 0.997996300863132]]","[[0, 0, 6], [0, 0, 5], [0, 0, 8]]"
Qwen3-235B-A22B Thinking 2507,qwen3_235b_a22b_thinking_2507_v1,reasoning,42,"[[58, 0, 4926], [4, 6, 3166], [26, 4, 6458]]","[[0.011637239165329053, 0.0, 0.9883627608346709], [0.0012594458438287153, 0.001889168765743073, 0.9968513853904282], [0.004007398273736128, 0.0006165228113440197, 0.9953760789149199]]","[[0, 0, 6], [0, 0, 5], [0, 0, 8]]"
Qwen3-235B-A22B Thinking 2507,qwen3_235b_a22b_thinking_2507_v1,reasoning,43,"[[180, 4312, 492], [5, 2784, 387], [37, 5559, 892]]","[[0.036115569823434994, 0.8651685393258427, 0.09871589085072231], [0.0015743073047858943, 0.8765743073047859, 0.12185138539042821], [0.0057028360049321825, 0.8568125770653514, 0.1374845869297164]]","[[0, 6, 0], [0, 5, 0], [0, 8, 0]]"
Qwen3-235B-A22B Thinking 2507,qwen3_235b_a22b_thinking_2507_v1,reasoning,44,"[[261, 4252, 471], [15, 2777, 384], [101, 5525, 862]]","[[0.05236757624398074, 0.8531300160513644, 0.0945024077046549], [0.004722921914357683, 0.8743702770780857, 0.12090680100755667], [0.015567200986436498, 0.8515721331689272, 0.13286066584463624]]","[[0, 6, 0], [0, 5, 0], [0, 8, 0]]"
Qwen3-235B-A22B Thinking 2507,qwen3_235b_a22b_thinking_2507_v1,reasoning,45,"[[983, 74, 3927], [98, 185, 2893], [290, 197, 6001]]","[[0.19723113964686997, 0.014847512038523275, 0.7879213483146067], [0.030856423173803528, 0.058249370277078084, 0.9108942065491183], [0.04469790382244143, 0.030363748458692972, 0.9249383477188656]]","[[1, 0, 5], [0, 0, 5], [0, 0, 8]]"
Gemini 3 Flash Thinking,gemini3_flash_preview_thinking_explicit_v1,reasoning,41,"[[196, 1128, 3660], [84, 585, 2507], [130, 1081, 5277]]","[[0.03932584269662921, 0.22632423756019263, 0.7343499197431782], [0.02644836272040302, 0.18419395465994962, 0.7893576826196473], [0.020036991368680642, 0.16661528976572132, 0.813347718865598]]","[[0, 1, 5], [0, 0, 5], [0, 1, 7]]"
Gemini 3 Flash Thinking,gemini3_flash_preview_thinking_explicit_v1,reasoning,42,"[[27, 50, 4907], [1, 15, 3160], [8, 45, 6435]]","[[0.005417335473515248, 0.010032102728731942, 0.9845505617977528], [0.00031486146095717883, 0.004722921914357683, 0.9949622166246851], [0.0012330456226880395, 0.006935881627620222, 0.9918310727496917]]","[[0, 0, 6], [0, 0, 5], [0, 0, 8]]"
Gemini 3 Flash Thinking,gemini3_flash_preview_thinking_explicit_v1,reasoning,43,"[[107, 3641, 1236], [77, 1534, 1565], [113, 3374, 3001]]","[[0.021468699839486356, 0.73053772070626, 0.2479935794542536], [0.02424433249370277, 0.48299748110831237, 0.4927581863979849], [0.017416769420468558, 0.5200369913686806, 0.4625462392108508]]","[[0, 6, 0], [0, 4, 1], [0, 5, 3]]"
Gemini 3 Flash Thinking,gemini3_flash_preview_thinking_explicit_v1,reasoning,44,"[[575, 4001, 408], [180, 2657, 339], [373, 5354, 761]]","[[0.11536918138041734, 0.80276886035313, 0.08186195826645265], [0.05667506297229219, 0.8365869017632241, 0.10673803526448362], [0.05749075215782984, 0.8252157829839704, 0.11729346485819975]]","[[0, 6, 0], [0, 5, 0], [0, 8, 0]]"
Gemini 3 Flash Thinking,gemini3_flash_preview_thinking_explicit_v1,reasoning,45,"[[826, 296, 3862], [347, 248, 2581], [669, 546, 5273]]","[[0.16573033707865167, 0.0593900481540931, 0.7748796147672552], [0.10925692695214106, 0.07808564231738035, 0.8126574307304786], [0.1031134401972873, 0.0841553637484587, 0.812731196054254]]","[[1, 0, 5], [0, 0, 5], [0, 0, 8]]"
GLM-5,glm5_reasoning_v1,reasoning,41,"[[1, 0, 4983], [0, 0, 3176], [1, 0, 6487]]","[[0.00020064205457463884, 0.0, 0.9997993579454254], [0.0, 0.0, 1.0], [0.00015413070283600493, 0.0, 0.999845869297164]]","[[0, 0, 6], [0, 0, 5], [0, 0, 8]]"
GLM-5,glm5_reasoning_v1,reasoning,42,"[[394, 0, 4590], [108, 0, 3068], [278, 0, 6210]]","[[0.0790529695024077, 0.0, 0.9209470304975923], [0.03400503778337532, 0.0, 0.9659949622166247], [0.04284833538840937, 0.0, 0.9571516646115906]]","[[0, 0, 6], [0, 0, 5], [0, 0, 8]]"
GLM-5,glm5_reasoning_v1,reasoning,43,"[[348, 0, 4636], [45, 0, 3131], [155, 5, 6328]]","[[0.06982343499197431, 0.0, 0.9301765650080257], [0.014168765743073047, 0.0, 0.985831234256927], [0.023890258939580765, 0.0007706535141800247, 0.9753390875462392]]","[[0, 0, 6], [0, 0, 5], [0, 0, 8]]"
GLM-5,glm5_reasoning_v1,reasoning,44,"[[0, 35, 4949], [0, 28, 3148], [0, 137, 6351]]","[[0.0, 0.007022471910112359, 0.9929775280898876], [0.0, 0.008816120906801008, 0.9911838790931989], [0.0, 0.021115906288532677, 0.9788840937114673]]","[[0, 0, 6], [0, 0, 5], [0, 0, 8]]"
GLM-5,glm5_reasoning_v1,reasoning,45,"[[0, 0, 4984], [0, 0, 3176], [1, 0, 6487]]","[[0.0, 0.0, 1.0], [0.0, 0.0, 1.0], [0.00015413070283600493, 0.0, 0.999845869297164]]","[[0, 0, 6], [0, 0, 5], [0, 0, 8]]"
