model,model_tag,mode,seed,Accuracy,Precision,Recall,F1,AUROC,AUPRC,pred_share_HC,pred_share_FTD,pred_share_AD,dominant_class,dominant_class_share,recall_HC,recall_FTD,recall_AD,unused_output_classes,near_unused_output_classes_le_2pct,hard_label_entropy_normalized,window_label_mutual_information_nats,mean_max_probability,mean_top1_margin,mean_probability_entropy,prob_std_HC,prob_std_FTD,prob_std_AD,exact_unique_probability_rows,unique_probability_rows_rounded_6dp,subject_majority_Accuracy,subject_majority_Precision_macro,subject_majority_Recall_macro,subject_majority_F1_macro,subject_majority_confusion_json,failure_flags
GPT-4.1-mini,gpt41_mini_fastfill_v1,non-reasoning,41,0.357591480065538,0.2628443906225522,0.333096323360112,0.24299768476323644,0.5074514032221709,0.342487895735969,0.8313080283997816,0.0,0.16869197160021845,HC,0.8313080283997816,0.8280497592295345,0.0,0.1712392108508015,FTD,FTD,0.4130721064596077,0.00010668114811130248,0.604225430584746,0.27214936985208366,0.7846462864324745,0.15332344019881344,0.05200306253526896,0.10942144896300421,14428,14414,0.3157894736842105,0.10526315789473684,0.3333333333333333,0.15999999999999998,"[[6, 0, 0], [5, 0, 0], [8, 0, 0]]",unused_output_class;near_unused_output_class;macro_recall_near_one_third
GPT-4.1-mini,gpt41_mini_fastfill_v1,non-reasoning,42,0.4428590933915893,0.29913192180050147,0.3333594753519524,0.20522749179159439,0.5075814329047084,0.3443433916862026,0.0007509557618787547,0.0,0.9992490442381212,AD,0.9992490442381212,0.0010032102728731941,0.0,0.999075215782984,FTD,HC;FTD,0.005600858970130119,0.00018422332275099668,0.5438793671800486,0.28175399300485127,0.9942864384454005,0.037773741536556577,0.020820957988928582,0.049162997711731056,14648,14648,0.42105263157894735,0.14035087719298245,0.3333333333333333,0.19753086419753085,"[[0, 0, 6], [0, 0, 5], [0, 0, 8]]",near_single_class_concentration;majority_AD_concentration;unused_output_class;near_unused_output_class;macro_recall_near_one_third
GPT-4.1-mini,gpt41_mini_fastfill_v1,non-reasoning,43,0.3402512288367013,0.11341707627890042,0.3333333333333333,0.16924748709589787,0.5,0.3333333333333333,1.0,0.0,0.0,HC,1.0,1.0,0.0,0.0,FTD;AD,FTD;AD,-0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,1,0.3157894736842105,0.10526315789473684,0.3333333333333333,0.15999999999999998,"[[6, 0, 0], [5, 0, 0], [8, 0, 0]]",exact_single_class_collapse;near_single_class_concentration;unused_output_class;near_unused_output_class;macro_recall_near_one_third;exact_constant_probability_vector
GPT-4.1-mini,gpt41_mini_fastfill_v1,non-reasoning,44,0.4429273620972146,0.14764245403240486,0.3333333333333333,0.20464294726217513,0.5037100912272442,0.33194702614209076,0.0,0.0,1.0,AD,1.0,0.0,0.0,1.0,HC;FTD,HC;FTD,-0.0,0.0,0.7571755520975634,0.5143511041951268,0.5507467169452046,0.0008509411768620993,0.03501104202791931,0.034901799381121604,14648,13696,0.42105263157894735,0.14035087719298245,0.3333333333333333,0.19753086419753085,"[[0, 0, 6], [0, 0, 5], [0, 0, 8]]",exact_single_class_collapse;near_single_class_concentration;majority_AD_concentration;unused_output_class;near_unused_output_class;macro_recall_near_one_third
GPT-4.1-mini,gpt41_mini_fastfill_v1,non-reasoning,45,0.4400600764609503,0.32277022792127164,0.33432983719557857,0.2264603600279418,0.513677147432635,0.34585061552603785,0.035636264336428185,0.00047788093937738943,0.9638858547241944,AD,0.9638858547241944,0.04012841091492777,0.00031486146095717883,0.9625462392108508,,FTD,0.14375703033525242,0.0004557807446418494,0.5445850961599445,0.23059348702946067,0.9598926520683247,0.038604614867082346,0.041571721431547845,0.07057173374601396,14648,14648,0.42105263157894735,0.14035087719298245,0.3333333333333333,0.19753086419753085,"[[0, 0, 6], [0, 0, 5], [0, 0, 8]]",near_single_class_concentration;majority_AD_concentration;near_unused_output_class;macro_recall_near_one_third
GPT-4o,gpt4o_nonthinking_retrymax5_v1,non-reasoning,41,0.2550518842162753,0.20615550020834728,0.3032769403903713,0.20589730908434442,0.47988713018916923,0.3266956224159404,0.0,0.7337520480611688,0.2662479519388312,FTD,0.7337520480611688,0.0,0.6542821158690176,0.25554870530209617,HC,HC,0.5274755769428421,0.004659044823606167,0.7,0.49999999999999994,0.8018185525433377,0.0,0.22099772624803687,0.2209977262480369,2,2,0.21052631578947367,0.0784313725490196,0.26666666666666666,0.1212121212121212,"[[0, 5, 1], [0, 4, 1], [0, 8, 0]]",unused_output_class;near_unused_output_class
GPT-4o,gpt4o_nonthinking_retrymax5_v1,non-reasoning,42,0.3453713817586019,0.3006000324851672,0.33339112146728533,0.19959983242568932,0.49931537497914036,0.33415356041228184,0.946204259967231,0.007850901146914254,0.045944838885854725,HC,0.946204259967231,0.9460272873194222,0.002204030226700252,0.05194204685573366,,FTD,0.21108530903618705,0.002793638591281191,0.7,0.5,0.8018185525433377,0.13536850822608068,0.044128404962381185,0.12575696989830518,3,3,0.3157894736842105,0.10526315789473684,0.3333333333333333,0.15999999999999998,"[[6, 0, 0], [5, 0, 0], [8, 0, 0]]",near_single_class_concentration;near_unused_output_class;macro_recall_near_one_third
GPT-4o,gpt4o_nonthinking_retrymax5_v1,non-reasoning,43,0.4236755871108684,0.20786945376214802,0.3265601236565652,0.22276731468120867,0.4945508285031534,0.3309826293744824,0.0,0.052635172037138175,0.9473648279628618,AD,0.9473648279628618,0.0,0.04534005037783375,0.9343403205918619,HC,HC,0.18769354575393865,0.001382118448717354,0.7,0.49999999999999994,0.8018185525433377,0.0,0.11165203838461597,0.11165203838461597,2,2,0.42105263157894735,0.14035087719298245,0.3333333333333333,0.19753086419753085,"[[0, 0, 6], [0, 0, 5], [0, 0, 8]]",near_single_class_concentration;majority_AD_concentration;unused_output_class;near_unused_output_class;macro_recall_near_one_third
GPT-4o,gpt4o_nonthinking_retrymax5_v1,non-reasoning,44,0.4150737302020754,0.328396028516581,0.3356576778338231,0.29392458655810566,0.49745050080716186,0.33274466504811817,0.2564172583287821,0.01679410158383397,0.726788640087384,AD,0.726788640087384,0.26946227929373995,0.014483627204030227,0.7230271270036991,,FTD,0.5912333940996684,0.0007071992056426539,0.7,0.5,0.8018185525433377,0.261992903082461,0.06424962983517071,0.26492360730784104,3,3,0.42105263157894735,0.14035087719298245,0.3333333333333333,0.19753086419753085,"[[0, 0, 6], [0, 0, 5], [0, 0, 8]]",near_unused_output_class;macro_recall_near_one_third
GPT-4o,gpt4o_nonthinking_retrymax5_v1,non-reasoning,45,0.24761059530311305,0.4474621404967838,0.33321013043181597,0.20856378208439363,0.49998228458389393,0.333443943516363,0.2470644456581103,0.7519797924631348,0.0009557618787547789,FTD,0.7519797924631348,0.24699036918138043,0.7509445843828715,0.0016954377311960542,,AD,0.5155744398252655,0.00033844105881377295,0.8,0.7,0.6390318596501771,0.30191317729006606,0.30230453230677073,0.02163043492427025,3,3,0.2631578947368421,0.08771929824561403,0.3333333333333333,0.1388888888888889,"[[0, 6, 0], [0, 5, 0], [0, 8, 0]]",near_unused_output_class;macro_recall_near_one_third
Qwen3-235B-A22B Thinking 2507,qwen3_235b_a22b_thinking_2507_v1,reasoning,41,0.4436783178590934,0.6882704059295435,0.33430864319310194,0.20786443415203623,0.5445271855039366,0.38541868651171113,0.0025259421081376297,6.826870562534134e-05,0.997405789186237,AD,0.997405789186237,0.004614767255216694,0.00031486146095717883,0.997996300863132,,HC;FTD,0.016706254725266594,0.0007041075175284466,0.5317379517447988,0.29311157192545406,1.0128969194307815,0.02310377200344188,0.015858516013031055,0.036265300205966855,14648,14647,0.42105263157894735,0.14035087719298245,0.3333333333333333,0.19753086419753085,"[[0, 0, 6], [0, 0, 5], [0, 0, 8]]",near_single_class_concentration;majority_AD_concentration;near_unused_output_class;macro_recall_near_one_third
Qwen3-235B-A22B Thinking 2507,qwen3_235b_a22b_thinking_2507_v1,reasoning,42,0.4452484980884762,0.5676465687805894,0.336300828948664,0.2135246089333617,0.5490092612720066,0.38652969082664224,0.006007646095030038,0.0006826870562534135,0.9933096668487166,AD,0.9933096668487166,0.011637239165329053,0.001889168765743073,0.9953760789149199,,HC;FTD,0.03856845045092139,0.0018682758736526985,0.8743085773123628,0.7915960643369466,0.4108300302751142,0.07662282940015583,0.04967989998365579,0.11022477736964394,14648,14648,0.42105263157894735,0.14035087719298245,0.3333333333333333,0.19753086419753085,"[[0, 0, 6], [0, 0, 5], [0, 0, 8]]",near_single_class_concentration;majority_AD_concentration;near_unused_output_class;macro_recall_near_one_third
