model,mode,dataset,n,Accuracy_mean_percent,Accuracy_sample_sd_percent,Precision_mean_percent,Precision_sample_sd_percent,Recall_mean_percent,Recall_sample_sd_percent,F1_mean_percent,F1_sample_sd_percent,AUROC_mean_percent,AUROC_sample_sd_percent,AUPRC_mean_percent,AUPRC_sample_sd_percent
GPT-4.1-mini,standard endpoint,APAVA,5,48.17610063,9.98990828,24.08805031,4.99495414,50.00000000,0.00000000,32.27237436,4.45643124,62.85777212,18.32402776,64.37904562,18.18876879
GPT-4.1-mini,standard endpoint,ADFTD,5,40.47378482,5.13337906,22.91612141,9.33208410,33.34904605,0.04812568,20.97151942,2.77111315,50.64840150,0.50896568,33.95924525,0.64758925
GPT-4.1-mini,standard endpoint,TDBRAIN,5,50.18750000,0.41926275,30.78776054,12.94182599,50.18750000,0.41926275,34.54504836,2.70947717,22.35514323,22.17586200,38.87574189,12.38344606
GPT-4o,standard endpoint,APAVA,5,52.15932914,14.47566791,42.24593216,23.86672108,51.44389889,16.77791264,44.23158333,19.21534547,51.44389889,16.77791264,53.30360764,11.79731786
GPT-4o,standard endpoint,ADFTD,5,33.73566357,8.42371180,29.80966311,9.97853834,32.64191988,1.33758919,22.61505650,3.88239459,49.42372238,0.82937028,33.16040842,0.29860107
GPT-4o,standard endpoint,TDBRAIN,5,59.83333333,6.24808999,62.40959075,21.27175537,59.83333333,6.24808999,52.83234249,12.31279716,65.42460938,12.58437547,62.05255563,11.12894180
Qwen3-235B-A22B Thinking 2507,thinking-designated,APAVA,5,80.39133473,7.68385047,83.89870107,4.00232271,83.05746499,6.04929927,80.23745006,7.75314964,96.47378311,0.89991068,96.24751458,0.91438111
Qwen3-235B-A22B Thinking 2507,thinking-designated,ADFTD,5,38.15674495,10.82171977,55.39020978,8.26654115,35.34680172,2.38426513,23.96279480,5.86631307,55.04413614,1.27230110,39.35394615,2.15018448
Qwen3-235B-A22B Thinking 2507,thinking-designated,TDBRAIN,5,56.45833333,5.43915604,61.34271763,2.69889484,56.45833333,5.43915604,49.63775754,10.86106829,67.67725694,8.10666608,66.52903730,8.51261758
Gemini 3 Flash Thinking,thinking-designated,APAVA,5,75.76519916,3.52688979,78.28512426,4.64382839,77.38352428,4.68487178,75.30116035,3.86609002,90.54102766,7.22390249,90.04595402,7.67629400
Gemini 3 Flash Thinking,thinking-designated,ADFTD,5,37.57099945,7.62538614,39.31455688,3.52233378,34.21098660,1.39225283,26.31189553,3.89935818,52.56146999,0.95835342,35.81786519,0.81410422
Gemini 3 Flash Thinking,thinking-designated,TDBRAIN,5,45.29166667,5.27684111,40.05089551,5.11958692,45.29166667,5.27684111,37.57194610,4.16368987,38.44270833,5.47406687,42.76264103,2.54448882
GLM-5,thinking-designated,APAVA,5,67.47728861,7.62803816,76.92400338,4.39857521,72.24622659,6.59020003,66.70390000,8.07251804,86.02683316,9.93758020,84.25668481,11.30452939
GLM-5,thinking-designated,ADFTD,5,44.55761879,0.78697859,26.68198015,9.13745215,33.79306501,0.84173269,22.25993638,2.31629322,52.37723375,1.51760624,35.77246090,0.83216022
GLM-5,thinking-designated,TDBRAIN,5,45.72916667,15.77187909,40.78160497,18.42951953,45.72916667,15.77187909,41.85529901,16.17347297,44.81992187,21.45549664,50.57319227,13.58280874
