model,mode,dataset,seed,sample_count,Accuracy,Precision,Recall,F1,AUROC,AUPRC
GPT-4.1-mini,standard endpoint,APAVA,41,1431,0.5911949685534591,0.29559748427672955,0.5,0.3715415019762846,0.47411650603139965,0.5230550194798318
GPT-4.1-mini,standard endpoint,APAVA,42,1431,0.4088050314465409,0.20440251572327045,0.5,0.2901785714285714,0.8168050756703239,0.8301256532145849
GPT-4.1-mini,standard endpoint,APAVA,43,1431,0.5911949685534591,0.29559748427672955,0.5,0.3715415019762846,0.5,0.5
GPT-4.1-mini,standard endpoint,APAVA,44,1431,0.4088050314465409,0.20440251572327045,0.5,0.2901785714285714,0.5116768705421187,0.5106910234275335
GPT-4.1-mini,standard endpoint,APAVA,45,1431,0.4088050314465409,0.20440251572327045,0.5,0.2901785714285714,0.8402901537653311,0.8550805848383041
GPT-4.1-mini,standard endpoint,ADFTD,41,14648,0.357591480065538,0.2628443906225522,0.333096323360112,0.24299768476323644,0.5074514032221709,0.342487895735969
GPT-4.1-mini,standard endpoint,ADFTD,42,14648,0.4428590933915893,0.29913192180050147,0.3333594753519524,0.20522749179159439,0.5075814329047084,0.3443433916862026
GPT-4.1-mini,standard endpoint,ADFTD,43,14648,0.3402512288367013,0.11341707627890042,0.3333333333333333,0.16924748709589787,0.5,0.3333333333333333
GPT-4.1-mini,standard endpoint,ADFTD,44,14648,0.4429273620972146,0.14764245403240486,0.3333333333333333,0.20464294726217513,0.5037100912272442,0.33194702614209076
GPT-4.1-mini,standard endpoint,ADFTD,45,14648,0.4400600764609503,0.32277022792127164,0.33432983719557857,0.2264603600279418,0.513677147432635,0.34585061552603785
GPT-4.1-mini,standard endpoint,TDBRAIN,41,960,0.5,0.25,0.5,0.3333333333333333,0.2027224392361111,0.367378834302829
GPT-4.1-mini,standard endpoint,TDBRAIN,42,960,0.509375,0.5393880267692701,0.509375,0.393919084659113,0.6046701388888889,0.6067855908749067
GPT-4.1-mini,standard endpoint,TDBRAIN,43,960,0.5,0.25,0.5,0.3333333333333333,0.0688671875,0.31470664220395783
GPT-4.1-mini,standard endpoint,TDBRAIN,44,960,0.5,0.25,0.5,0.3333333333333333,0.17532986111111112,0.34064541620593397
GPT-4.1-mini,standard endpoint,TDBRAIN,45,960,0.5,0.25,0.5,0.3333333333333333,0.06616753472222223,0.31427061097465503
GPT-4o,standard endpoint,APAVA,41,1431,0.4647099930118798,0.40776478232618585,0.4225586470267321,0.408537296037296,0.4225586470267321,0.4702755857453549
GPT-4o,standard endpoint,APAVA,42,1431,0.4968553459119497,0.2743055555555556,0.42021276595744683,0.33193277310924374,0.42021276595744683,0.4821057194790134
GPT-4o,standard endpoint,APAVA,43,1431,0.4088050314465409,0.20440251572327045,0.5,0.2901785714285714,0.5,0.5
GPT-4o,standard endpoint,APAVA,44,1431,0.7742837176799441,0.8197808692298987,0.8083106019276232,0.7739375191049703,0.8083106019276232,0.7429318159727263
GPT-4o,standard endpoint,APAVA,45,1431,0.46331236897274636,0.4060428849902534,0.42111292962356794,0.406993006993007,0.42111292962356794,0.4698672610311
GPT-4o,standard endpoint,ADFTD,41,14648,0.2550518842162753,0.20615550020834728,0.3032769403903713,0.20589730908434442,0.47988713018916923,0.3266956224159404
GPT-4o,standard endpoint,ADFTD,42,14648,0.3453713817586019,0.3006000324851672,0.33339112146728533,0.19959983242568932,0.49931537497914036,0.33415356041228184
GPT-4o,standard endpoint,ADFTD,43,14648,0.4236755871108684,0.20786945376214802,0.3265601236565652,0.22276731468120867,0.4945508285031534,0.3309826293744824
GPT-4o,standard endpoint,ADFTD,44,14648,0.4150737302020754,0.328396028516581,0.3356576778338231,0.29392458655810566,0.49745050080716186,0.33274466504811817
GPT-4o,standard endpoint,ADFTD,45,14648,0.24761059530311305,0.4474621404967838,0.33321013043181597,0.20856378208439363,0.49998228458389393,0.333443943516363
GPT-4o,standard endpoint,TDBRAIN,41,960,0.634375,0.774587365078802,0.634375,0.5808699783942056,0.634375,0.604085177182464
GPT-4o,standard endpoint,TDBRAIN,42,960,0.6447916666666667,0.6802941128783826,0.6447916666666667,0.6263998877008461,0.6447916666666667,0.5985009184271826
GPT-4o,standard endpoint,TDBRAIN,43,960,0.571875,0.7325875363418026,0.571875,0.48247571153687246,0.8514388020833333,0.8039933311351026
GPT-4o,standard endpoint,TDBRAIN,44,960,0.5,0.25,0.5,0.3333333333333333,0.5,0.5
GPT-4o,standard endpoint,TDBRAIN,45,960,0.640625,0.6830105231050785,0.640625,0.6185382135564055,0.640625,0.5960483548116516
Qwen3-235B-A22B Thinking 2507,thinking-designated,APAVA,41,1431,0.6995108315863033,0.787056542459982,0.7455991998545191,0.6953618843174221,0.9506395102139783,0.9483738557124364
Qwen3-235B-A22B Thinking 2507,thinking-designated,APAVA,42,1431,0.7686932215234102,0.8193231441048034,0.8043735224586288,0.7681384098085969,0.9701844779858965,0.9684771446534959
Qwen3-235B-A22B Thinking 2507,thinking-designated,APAVA,43,1431,0.7966457023060797,0.8331984437715942,0.8277505000909255,0.7965678168342878,0.9699238245337536,0.9674244575630375
Qwen3-235B-A22B Thinking 2507,thinking-designated,APAVA,44,1431,0.859538784067086,0.865504115911593,0.8769867248590653,0.8589558068295104,0.9720656280939969,0.9699708569997465
Qwen3-235B-A22B Thinking 2507,thinking-designated,APAVA,45,1431,0.8951781970649895,0.8898528073438057,0.8981633024186215,0.8928485852918273,0.960875714776424,0.9581294142764278
Qwen3-235B-A22B Thinking 2507,thinking-designated,ADFTD,41,14648,0.4436783178590934,0.6882704059295435,0.33430864319310194,0.20786443415203623,0.5445271855039366,0.38541868651171113
Qwen3-235B-A22B Thinking 2507,thinking-designated,ADFTD,42,14648,0.4452484980884762,0.5676465687805894,0.336300828948664,0.2135246089333617,0.5490092612720066,0.38652969082664224
Qwen3-235B-A22B Thinking 2507,thinking-designated,ADFTD,43,14648,0.2632441288913162,0.5114910505321583,0.3500581546859791,0.21229091656606272,0.5439312097012858,0.38499420111271926
Qwen3-235B-A22B Thinking 2507,thinking-designated,ADFTD,44,14648,0.2662479519388312,0.4718501761502208,0.35319950638890085,0.22018965236389024,0.5420058308716382,0.3791005677042758
Qwen3-235B-A22B Thinking 2507,thinking-designated,ADFTD,45,14648,0.4894183506280721,0.5302522874452088,0.39347295254760456,0.3442701281241414,0.5727333194857659,0.4316541611005325
Qwen3-235B-A22B Thinking 2507,thinking-designated,TDBRAIN,41,960,0.5364583333333334,0.5935672514619883,0.5364583333333334,0.45299145299145305,0.5364583333333334,0.5216404727095517
Qwen3-235B-A22B Thinking 2507,thinking-designated,TDBRAIN,42,960,0.51875,0.5853350189633375,0.51875,0.40212233629540167,0.6911328125,0.6744950307730957
Qwen3-235B-A22B Thinking 2507,thinking-designated,TDBRAIN,43,960,0.6104166666666667,0.6210068684716223,0.6104166666666666,0.6017021729773384,0.7153211805555556,0.7042678864811812
Qwen3-235B-A22B Thinking 2507,thinking-designated,TDBRAIN,44,960,0.521875,0.612905755057237,0.521875,0.4011733544973833,0.6971614583333333,0.6799368271418262
Qwen3-235B-A22B Thinking 2507,thinking-designated,TDBRAIN,45,960,0.6354166666666666,0.654320987654321,0.6354166666666666,0.6238985600687729,0.7437890625,0.7461116478486549
Gemini 3 Flash Thinking,thinking-designated,APAVA,41,1431,0.7197763801537387,0.7868663594470047,0.7603655210038189,0.7177918726679621,0.9237032995898244,0.9211252113612707
Gemini 3 Flash Thinking,thinking-designated,APAVA,42,1431,0.7225716282320056,0.713105561577587,0.7065648299690853,0.7089110250192017,0.8104625083348488,0.8009509977674161
Gemini 3 Flash Thinking,thinking-designated,APAVA,43,1431,0.7714884696016772,0.8207236842105263,0.8067375886524824,0.7710013433460328,0.9830292376391667,0.9819735249916157
Gemini 3 Flash Thinking,thinking-designated,APAVA,44,1431,0.80083857442348,0.8277893054086567,0.8281323877068558,0.800838185390161,0.9573639651653836,0.9565394809449094
Gemini 3 Flash Thinking,thinking-designated,APAVA,45,1431,0.7735849056603774,0.7657713025559452,0.7673758865248227,0.7665155910079768,0.8524923723505283,0.8417084860068815
Gemini 3 Flash Thinking,thinking-designated,ADFTD,41,14648,0.4135718186783179,0.3828470040603917,0.34562250540739226,0.2857366700888479,0.5286200734076311,0.36029959077833834
Gemini 3 Flash Thinking,thinking-designated,ADFTD,42,14648,0.4421764063353359,0.44336517847068113,0.3339904433791882,0.21101191054675436,0.5290678865175013,0.3622682311897984
Gemini 3 Flash Thinking,thinking-designated,ADFTD,43,14648,0.3169033315128345,0.3523136625644347,0.3223374733862165,0.26351675509991596,0.508652220839784,0.3447963771372626
Gemini 3 Flash Thinking,thinking-designated,ADFTD,44,14648,0.272596941561988,0.4118630513531467,0.3564165160006137,0.24279370274375686,0.5321947956249709,0.36618498863203075
Gemini 3 Flash Thinking,thinking-designated,ADFTD,45,14648,0.4333014746040415,0.3753389475971814,0.352182391816762,0.31253573814112356,0.529538522980567,0.3573440717038893
Gemini 3 Flash Thinking,thinking-designated,TDBRAIN,41,960,0.46875,0.45548851356363906,0.46875,0.425996182687032,0.4284982638888889,0.44964706192234327
Gemini 3 Flash Thinking,thinking-designated,TDBRAIN,42,960,0.4822916666666667,0.39171687146686485,0.4822916666666667,0.3454057532182982,0.396484375,0.4330453853865618
Gemini 3 Flash Thinking,thinking-designated,TDBRAIN,43,960,0.359375,0.3578941135706736,0.359375,0.3577016511114568,0.2901953125,0.384484479769836
Gemini 3 Flash Thinking,thinking-designated,TDBRAIN,44,960,0.46979166666666666,0.4514559721011334,0.46979166666666666,0.41450438846119286,0.4155815972222222,0.44222247196149744
Gemini 3 Flash Thinking,thinking-designated,TDBRAIN,45,960,0.484375,0.34598930481283424,0.484375,0.33498932932162473,0.3913758680555556,0.42873265255969095
GLM-5,thinking-designated,APAVA,41,1431,0.8085255066387141,0.838553730574362,0.8372704128023277,0.8085209248175524,0.9695318340708412,0.9677251352588483
GLM-5,thinking-designated,APAVA,42,1431,0.6624737945492662,0.762474690663667,0.7121658483360611,0.6554720620892309,0.7518276050190944,0.7357084921761115
GLM-5,thinking-designated,APAVA,43,1431,0.6470999301187981,0.7655176555368725,0.7010092744135297,0.6368861614713583,0.8831262249701965,0.8578352014275473
GLM-5,thinking-designated,APAVA,44,1431,0.63382250174703,0.763751127141569,0.6903073286052009,0.6210214132069674,0.9350346527651492,0.9335721099305472
GLM-5,thinking-designated,APAVA,45,1431,0.6219426974143956,0.7159029649595687,0.6715584651754865,0.6132944382144543,0.7618213412539654,0.7179933015763726
GLM-5,thinking-designated,ADFTD,41,14648,0.4429273620972146,0.3143065228276207,0.3333488371172462,0.2047644764604006,0.5299384825372525,0.361698901447641
GLM-5,thinking-designated,ADFTD,42,14648,0.4508465319497542,0.31764056217474157,0.3454015447046661,0.2489500447436964,0.5044442391265931,0.3508286467672554
GLM-5,thinking-designated,ADFTD,43,14648,0.4557618787547788,0.3613300086569326,0.34838750751273784,0.24689660109893496,0.5314685299004981,0.35849455117954054
GLM-5,thinking-designated,ADFTD,44,14648,0.4354860731840524,0.19319213732004434,0.32923340487275615,0.20776460993588527,0.5412613370802344,0.36906544176532113
GLM-5,thinking-designated,ADFTD,45,14648,0.4428590933915893,0.14762977629093557,0.333281956432388,0.20462108666508952,0.5117490989592967,0.3485355037047126
GLM-5,thinking-designated,TDBRAIN,41,960,0.6166666666666667,0.6289233366587368,0.6166666666666667,0.6073340328288666,0.6883984375,0.6871024960831345
GLM-5,thinking-designated,TDBRAIN,42,960,0.19583333333333333,0.18960385514846573,0.19583333333333333,0.1917781926680742,0.118671875,0.326104720938091
GLM-5,thinking-designated,TDBRAIN,43,960,0.5197916666666667,0.5202602734248304,0.5197916666666667,0.5169987918421515,0.5022612847222222,0.5014002089396759
GLM-5,thinking-designated,TDBRAIN,44,960,0.5,0.25,0.5,0.3333333333333333,0.55041015625,0.572652868984962
GLM-5,thinking-designated,TDBRAIN,45,960,0.45416666666666666,0.45029278303929504,0.45416666666666666,0.44332059970519366,0.38125434027777777,0.44139931848419245
